regiao,nome,taxa
Norte, 14003 Caracaraí,"17,8"
Norte, 15020 Marabá,12
Norte, 11003 Ariquemes,"11,3"
Norte, 17004 Rio Formoso,"11,3"
Norte, 11001 Porto Velho,11
Norte, 11007 Vilhena,"10,7"
Norte, 15016 Tucuruí,"10,6"
Norte, 11004 Ji-Paraná,"10,1"
Norte, 15021 Redenção,"9,7"
Norte, 15018 S. Félix do Xingu,"9,6"
Norte, 13008 R. Preto da Eva,"9,1"
Norte, 15022 Conceição do Araguaia,"9,1"
Nordeste, 26017 Recife,"15,2"
Nordeste, 27013 Penedo,"14,2"
Nordeste, 23033 Brejo Santo,"10,5"
Nordeste, 26018 Suape,"10,4"
Nordeste, 27008 Serr. Quilombos,"9,9"
Nordeste, 26008 Vale do Ipojuca,"9,5"
Nordeste, 27002 Sert. S.Franc. AL,"9,5"
Nordeste, 26005 Petrolina,"9,4"
Nordeste, 29004 Juazeiro,"9,3"
Nordeste, 27011 Maceió,"9,2"
Sudeste, 33009 Bacia de S. João,"24,8"
Sudeste, 33004 Macaé,"20,1"
Sudeste, 32009 Vitória,"19,8"
Sudeste, 35054 Caraguatatuba,16
Sudeste, 32005 São Mateus,"15,2"
Sudeste, 32006 Linhares,"13,9"
Sudeste, 35060 Itapec. Serra,"13,2"
Sudeste, 31030 B. Horizonte,"12,9"
Sudeste, 31015 Teófilo Otoni,12
Sudeste, 33013 Baía I. Grande,12
Sudeste, 32001 Barra S. Franc.,"11,7"
Sudeste, 32003 Colatina,"11,3"
Sudeste, 33008 S. M. Madalena,"11,1"
Sudeste, 33010 Lagos,"10,9"
Sudeste, 33018 Rio de Janeiro,"10,9"
Sudeste, 35059 Guarulhos,"10,4"
Sudeste, 33014 Vassouras,10
Sudeste, 32007 Afonso Cláudio,"9,8"
Sudeste, 32011 Alegre,"9,2"
Sul, 41030 Palmas,"16,8"
Sul, 43003 Fred. Westphalen,"12,2"
Sul, 41011 Londrina,"11,5"
Sul, 43031 Campanha Merid.,"11,2"
Sul, 41028 Pitanga,"10,9"
Sul, 41005 Campo Mourão,"10,1"
Centro-Oeste, 50007 Três Lagoas,"22,3"
Centro-Oeste, 51009 Norte Araguaia,"18,4"
Centro-Oeste, 51004 Parecis,"16,5"
Centro-Oeste, 51015 Alto Paraguai,"15,5"
Centro-Oeste, 50005 Cassilândia,"14,2"
Centro-Oeste, 50006 Paranaíba,14
Centro-Oeste, 51002 Alta Floresta,"13,2"
Centro-Oeste, 51003 Colíder,"12,2"
Centro-Oeste, 51001 Aripuanã,"11,9"
Centro-Oeste, 52012 Ent. Brasília,"11,6"
Centro-Oeste, 50001 Baixo Pantanal,"11,4"
Centro-Oeste, 52001 S. Miguel Arag.,"11,3"
Centro-Oeste, 51021 Rondonópolis,"10,3"
Centro-Oeste, 52005 Chap.Veadeiros,"10,2"
Centro-Oeste, 51019 Primavera Leste,"10,1"
Centro-Oeste, 51016 Rosário Oeste,"9,9"
Centro-Oeste, 52013 SO de Goiás,"9,8"
Centro-Oeste, 51018 Alto Pantanal,"9,6"
Centro-Oeste, 51005 Arinos,"9,4"
Centro-Oeste, 51006 A.Teles Pires,"9,2"
Centro-Oeste, 51017 Cuiabá,"9,2"
